0,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,0
0.002,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,0
0.004,-1.68001391153592,-1.40179957423306,-1.81270136979115,-2.9936999075703,-0.885713872443375,-0.0695986541323856,0
0.006,-1.68003130125675,-1.40179904243752,-1.81270308169185,-2.9936997919345,-0.885731213298795,-0.0695969718068939,0
0.008,-1.68005564725625,-1.40179829845336,-1.81270547792617,-2.99369962989148,-0.885755490887554,-0.0695946165801885,0
0.01,-1.6800869500235,-1.40179734294829,-1.81270855795163,-2.99369942126573,-0.885786705699476,-0.0695915884774171,0
0.012,-1.68012521013901,-1.40179617671153,-1.81271232113084,-2.99369916583549,-0.885824858316216,-0.0695878875377637,0
0.014,-1.68017042831223,-1.40179480070712,-1.81271676668588,-2.99369886332722,-0.885869949448661,-0.0695835138108169,0
0.016,-1.68022260538149,-1.4017932160739,-1.81272189369835,-2.99369851341565,-0.885921979936901,-0.0695784673565701,0
0.018,-1.68028174231397,-1.40179142412555,-1.81272770110933,-2.99369811572376,-0.885980950750153,-0.0695727482454239,0
0.02,-1.68034784020559,-1.40178942635058,-1.8127341877194,-2.99369766982273,-0.886046862986699,-0.0695663565581873,0
0.022,-1.68042090028096,-1.40178722441239,-1.81274135218863,-2.993697175232,-0.886119717873811,-0.0695592923860791,0
0.024,-1.68050092389329,-1.40178482014921,-1.81274919303657,-2.99369663141922,-0.886199516767661,-0.0695515558307301,0
0.026,-1.6805879125243,-1.40178221557419,-1.81275770864222,-2.99369603780022,-0.886286261153227,-0.0695431470041845,0
0.028,-1.6806818677841,-1.40177941287538,-1.81276689724404,-2.99369539373903,-0.88637995264419,-0.0695340660289017,0
0.03,-1.68078279141107,-1.40177641441577,-1.81277675693997,-2.99369469854787,-0.886480592982812,-0.0695243130377589,0
0.032,-1.68089068527177,-1.4017732227333,-1.81278728568737,-2.99369395148709,-0.886588184039827,-0.0695138881740523,0
0.034,-1.68100555136079,-1.40176984054088,-1.81279848130302,-2.99369315176521,-0.886702727814292,-0.0695027915914999,0
0.036,-1.68112739180059,-1.40176627072642,-1.81281034146313,-2.99369229853888,-0.886824226433457,-0.0694910234542433,0
0.038,-1.68125620884136,-1.40176251635288,-1.81282286370332,-2.99369139091284,-0.886952682152608,-0.0694785839368501,0
0.04,-1.68139200486088,-1.40175858065828,-1.81283604541858,-2.99369042793994,-0.887088097354911,-0.069465473224316,0
0.042,-1.68153478236433,-1.40175446705569,-1.8128498838633,-2.99368940862109,-0.887230474551233,-0.0694516915120677,0
0.044,-1.68168454398409,-1.40175017913336,-1.81286437615121,-2.99368833190526,-0.887379816379971,-0.0694372390059652,0
0.046,-1.6818412924796,-1.40174572065465,-1.81287951925541,-2.99368719668947,-0.887536125606859,-0.0694221159223039,0
0.048,-1.68200503073712,-1.40174109555812,-1.8128953100083,-2.99368600181873,-0.887699405124769,-0.0694063224878181,0
0.05,-1.68217576176954,-1.40173630795757,-1.81291174510162,-2.99368474608604,-0.887869657953503,-0.0693898589396826,0
0.052,-1.68235348871615,-1.40173136214205,-1.81292882108639,-2.99368342823238,-0.888046887239573,-0.0693727255255167,0
0.054,-1.68253821484244,-1.4017262625759,-1.8129465343729,-2.99368204694667,-0.888231096255976,-0.0693549225033858,0
0.056,-1.68272994353981,-1.40172101389881,-1.81296488123071,-2.99368060086574,-0.888422288401953,-0.0693364501418052,0
0.058,-1.68292867832538,-1.40171562092587,-1.8129838577886,-2.99367908857434,-0.888620467202744,-0.0693173087197424,0
0.06,-1.68313442320134,-1.40171007794133,-1.81300348118819,-2.9936774639819,-0.888825637564055,-0.0692975293470484,0
0.062,-1.68334718121615,-1.40170441152612,-1.81302370496764,-2.99367581482033,-0.889037800752399,-0.0692770506734241,0
0.064,-1.68356695662178,-1.40169861631266,-1.81304454598831,-2.99367409489051,-0.889256961924395,-0.0692559038386823,0
0.066,-1.68379375343565,-1.40169269781835,-1.81306599981606,-2.99367230256779,-0.889483125106803,-0.0692340891636106,0
0.068,-1.68402757579926,-1.4016866617358,-1.81308806187552,-2.993670436176,-0.889716294450782,-0.0692116069794848,0
0.07,-1.6842684279781,-1.40168051393327,-1.81311072745042,-2.99366849398674,-0.889956474231787,-0.069188457628052,0
0.072,-1.68451631436134,-1.40167426045474,-1.81313399168357,-2.99366647421927,-0.890203668849251,-0.0691646414615337,0
0.074,-1.68477123946149,-1.40166790751989,-1.81315784957681,-2.99366437504059,-0.890457882826259,-0.0691401588426291,0
0.076,-1.68503320830058,-1.40166145002918,-1.81318231872324,-2.9936621466247,-0.890719122156167,-0.0691150432100993,0
0.078,-1.68530222486383,-1.40165491754747,-1.81320734837583,-2.99365988292206,-0.890987388913751,-0.0690892288038028,0
0.08,-1.68557829441784,-1.40164830532309,-1.81323295584751,-2.99365753399617,-0.891262689338257,-0.0690627490958197,0
0.082,-1.68586142196528,-1.40164162027971,-1.81325913557651,-2.99365509780352,-0.891545028444152,-0.0690356044907655,0
0.084,-1.68615161263006,-1.40163486951649,-1.81328588185951,-2.99365257224913,-0.891834411367447,-0.0690077954037788,0
0.086,-1.68644887165723,-1.40162806030865,-1.81331318885203,-2.99364995518554,-0.892130843365605,-0.0689793222604958,0
0.088,-1.68675320483645,-1.40162118751089,-1.81334107549903,-2.9936471918485,-0.892434331292854,-0.0689502217072536,0
0.09,-1.68706461680619,-1.40161428394823,-1.81336948580951,-2.99364438512289,-0.892744877696039,-0.0689204217542758,0
